,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
125,WTSQ.SFA1CS,1996.03,2154.536,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
126,WTSQ.SFA1CS,1996.06,2094.048,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
127,WTSQ.SFA1CS,1996.09,2094.004,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
128,WTSQ.SFA1CS,1996.12,2125.134,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
129,WTSQ.SFA1CS,1997.03,2020.123,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
130,WTSQ.SFA1CS,1997.06,2072.536,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
131,WTSQ.SFA1CS,1997.09,2069.848,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
132,WTSQ.SFA1CS,1997.12,2065.864,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
133,WTSQ.SFA1CS,1998.03,2117.186,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
134,WTSQ.SFA1CS,1998.06,2112.592,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
135,WTSQ.SFA1CS,1998.09,1996.679,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
136,WTSQ.SFA1CS,1998.12,2051.059,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
137,WTSQ.SFA1CS,1999.03,2084.846,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
138,WTSQ.SFA1CS,1999.06,2115.605,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
139,WTSQ.SFA1CS,1999.09,2239.527,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
140,WTSQ.SFA1CS,1999.12,2160.369,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Seasonally adjusted,
242,WTSQ.SFA1CT,1995.03,2349.769,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Trend,
243,WTSQ.SFA1CT,1995.06,2204.458,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Trend,
244,WTSQ.SFA1CT,1995.09,2125.637,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Trend,
245,WTSQ.SFA1CT,1995.12,2145.656,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Trend,
246,WTSQ.SFA1CT,1996.03,2138.142,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Sales (operating income),Current prices,Trend,
